Nom de l'établissement	Adresse	Site Web	Status
Mon Spa Traditions du Monde	71 Rue Pierre et Marie Curie 87000 Limoges France	http://www.mon-spa.com/	Traité
Köraly	chateau de Domaine des lys La Guère 44150 Ancenis-Saint-Géréon France	http://www.koraly.fr/	Traité
Le b Spa	1 Chem. de l'ancienne Voie Ferrée 13520 Paradou France	https://www.hotelbdesign.fr/spa-provence/baux-de-provence/	Traité
Jacuzzi Tours - Interbat Spa	685 Rue Henri Potez 37210 Parçay-Meslay France	https://interbatspa.fr/	Traité
L'Escapade Bien-Etre	Rte Théophile Gautier 40160 Parentis-en-Born France	https://www.escapade-bienetre-40.fr/	Traité
Spa Privatif - Au 49 Grande rue	49 Grande Rue 02800 Versigny France	https://www.facebook.com/profile.php?id=100090989565147	Traité
Aqua-Attitude	Champagne-Ardenne 59 Rue du Vieux Colombier 51100 Reims France	http://www.aqua-attitude.fr/	Traité
Spa Zone Zen	29 Rue Buirette 51100 Reims France	https://www.zonezenspa.fr/	Traité
DIOR Spa Cheval Blanc Paris	Cheval Blanc Paris 8 Quai du Louvre 75001 Paris France	https://www.chevalblanc.com/fr/maison/paris/spa-et-piscine/spa-dior/	Traité
Spa Vendome	7 Rue du Helder 75009 Paris France	https://www.maison-albar-hotels-le-vendome.com/fr/page/hotel-spa-paris-luxe.22879.html	Traité
Le Spa, j'Adore !	7 Rue Beudant 75017 Paris France	http://www.lespajadore.fr/	Traité
Les Bains du Marais - Spa Hammam Massage Paris	14 Rue Saint-Fiacre 75002 Paris France	https://www.bainsdumarais.fr/	Traité
SPA	37 Av. Hoche 75008 Paris France	https://www.raffles.com/paris/spa/	Traité
Banya No.1 - Paris	20 Rue de Vouillé 75015 Paris France	https://gobanya.fr/	Traité
Spa Clemens	14 Rue des Saints-Pères 75007 Paris France	https://spaclemens.com/	Traité
O'Kari	22 Rue Dussoubs 75002 Paris France	http://www.o-kari.com/	Traité
The Spa at Mandarin Oriental, Paris	251 Rue Saint-Honoré 75001 Paris France	https://www.mandarinoriental.com/en/paris/place-vendome/wellness/the-spa?src=loc.local-listings.mopar.ggl	Traité
Spa Alaena Paris	28 Rue Meslay 75003 Paris France	https://www.alaena.com/pages/spa-alaena-paris	Traité
Spa NUXE Hôtel Square	1 Rue de Boulainvilliers 75016 Paris France	https://nuxe-spa.com/spa-carte-des-soins	Traité
Spa Luxury - Spa privatif	27 Rue Camille Pelletan 92300 Levallois-Perret France	https://www.spa-luxury-paris.fr/	Traité
Spa Cinq Mondes Samaritaine	77 - 81 Rue de Rivoli 75001 Paris France	https://www.cinqmondes.com/pages/spa-cinq-mondes-samaritaine	Traité
Spa Le Bristol by La Mer	112 Rue du Faubourg Saint-Honoré 75008 Paris France	https://www.oetkerhotels.com/hotels/le-bristol-paris/wellness/?utm_source=google&utm_medium=organic&utm_campaign=google_local_le_bristol_spa	Traité
Spa 28 - Le Prince Regent	28 Rue Monsieur le Prince 75006 Paris France	https://www.planity.com/spa-28-le-prince-regent-spa-75006-paris	Traité
Le Spa du George V	31 Av. George V 75008 Paris France	https://www.fourseasons.com/paris/spa/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-spa-mid-seo-na&utm_content=na-na&utm_term=na	Traité
Spa du Fouquet's Paris	46 Av. George V 75008 Paris France	https://www.hotelsbarriere.com/collection-fouquet-s/paris/experiences/spa	Traité
Spa Codage - MGallery Le Boutet Paris	22-24 Rue Faidherbe 75011 Paris France	https://mgallery.accor.com/fr/hotels/A064/wellness.html	Traité
Sensation Spa	8 Vla de Saxe 75007 Paris France	https://www.sensation-spa.com/	Traité
Les Bulles à Flotter - Rive Gauche - Centre de Flottaison en isolation sensorielle	43 Av. de Suffren 75007 Paris France	https://www.lesbullesaflotter.fr/lesbullesaflotter-paris.php	Traité
Les Jardins du Faubourg Hotel & Spa Shiseido	9 Rue d'Aguesseau 75008 Paris France	https://www.jardinsdufaubourg.com/fr/spa.html	Traité
Spa SUICHUKA - Hôtel Littéraire Le Swann	15 Rue de Constantinople 75008 Paris France	https://www.hotel-leswann.com/spa-japonais-suichuka	Traité
Spa Black Door	9 Rue Marbeuf 75008 Paris France	https://www.blackdoor.paris/triangle-or/bien-etre	Traité
Les Bulles à Flotter - Bastille - Centre de Flottaison en Isolation Sensorielle	32 Bd de la Bastille 75012 Paris France	https://www.lesbullesaflotter.fr/lesbullesaflotter-paris.php	Traité
Spa Maison CODAGE - Paris Bastille	10 Rue Agrippa d'Aubigné 75004 Paris France	https://www.codageparis.com/fr/pages/maison-codage-so-paris-1	Traité
Mon Mas Sage	6 Rue Boutin 75013 Paris France	https://monmassagespa.com/	Traité
Les Bains - Jacuzzi privatif de l'hôtel Quinzerie	40 Rue de la Convention 75015 Paris France	https://www.quinzeriehotel.fr/bains	Traité
Spa Luxe D'orient	27 Rue Péclet 75015 Paris France	http://www.spaluxedorient.com/	Traité
The Peninsula Spa	19 Av. Kléber 75116 Paris France	https://www.peninsula.com/en/paris/wellness/luxury-hotel-spa	Traité
Chi, The Spa	10 Av. d'Iéna 75116 Paris France	http://www.shangri-la.com/paris/shangrila/health-leisure/chi-the-spa/	Traité
Bain Foch	26 Rue le Sueur 75016 Paris France	http://www.bainfoch.com/	Traité
Phytomer Spa Trocadero	11 Rue Benjamin Franklin 75116 Paris France	https://www.spaphytomer.com/spa-trocadero.php	Traité
Le Prieuré des Sources - le Spa Paris	33 ter Rue Saint-Didier 16ème 75116 Paris France	https://le-prieure-des-sources.com/	Traité
Spa Sothys - Pullman Bercy	1 Rue de Libourne 75012 Paris France	https://spa.accor.com/fr/hotels/2192?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps	Traité
Spa Privatif | Hammam | Sauna | Jacuzzi | Sous l'arbre de vie	59 Grande Rue 38460 Trept France	https://souslarbredevie.com/	Traité
Oritual Spa / spa privatif-massages	4bis Rue des Ardennes 85490 Benet France		
Phydrolec Spa	Rue de Chavanne 74330 Poisy France	https://www.phydrolec-spa.fr/	Traité
Espace WELLNESS du château de Maillat	484 Rte de Peyriat 01430 Maillat France	https://chateaudemaillat.simplybook.it/	Traité
Spa Cinq Mondes Grand Hôtel-Dieu Lyon	7 Grand Cloître Grand Hôtel Dieu 1 Pl. de l'Hôpital 69002 Lyon France	https://www.cinqmondes.com/fr/spa-cinq-mondes-lyon.html	Traité
Centre Naturea Spa, Esthétique, forme et bien être	6 Bis Rue Jules Guesde 62880 Vendin-le-Vieil France	http://www.naturea-beaute.fr/	Traité
Spa de l'Evêché	14 Bd Carnot 14100 Lisieux France	https://manoirdeleveche.fr/fr/spa.html	Traité
Fish Spa en auge	103 Imp. des Charmilles 14130 Pont-l'Évêque France	http://www.fishspaenauge.fr/	Traité
BioSpa Esthetique	155 Rue du Stade 73800 Laissaud France	https://www.biospa-esthetique.fr/	Traité
Rivage Thalasso & Spa	28 Bd de l'Océan 44500 La Baule-Escoublac France	http://www.thalasso-rivage.com/	Traité
Endless Pools Angers	ZAC DE VERNUSSON PIERRE MARTINE SUD 2 Rue Joseph Cugnot 49130 Les Ponts-de-Cé France	https://www.endlesspools.fr/	Traité
HotSpring Spas Angers	Zac de Vernusson 2 Rue Joseph Cugnot 49130 Les Ponts-de-Cé France	https://www.hotspring.fr/	Traité
Paradis Spa	13 LD La Croix de Bois 22170 Boqueho France	http://bainetsauna.com/	Traité
Institut Spa Valdys - Pornichet/Baie de La Baule	66 Bd des Océanides 44380 Pornichet France	https://www.thalasso.com/destination/pornichet-baie-de-la-baule#sectionArea	Traité
Spa 5 Sens Narbonne	1 Av. Karl Marx 11100 Narbonne France	https://www.planity.com/esprit-dorient-11100-narbonne	Traité
Hammam di Kouca	1 Rue du Balcon de la Méditerranée 66650 Banyuls-sur-Mer France	https://www.hammamdikouca.com/	Traité
Instant Cocoon	Av. des Mûriers 34420 Portiragnes France	https://instantcocoon.bookinbeautiful.fr/	Traité
CeltÔ - Spa et Bien-Être à Bourbon-Lancy	12 Av. de la Libération 71140 Bourbon-Lancy France	https://www.celto.fr/	Traité
OBODY	722 Rte nationale 80260 Poulainville France	https://www.prestige-amiens-kyriad-hotel.fr/obody	Traité
Institut Spa Valdys - Douarnenez	42 bis Rue des Professeurs Curie 29100 Douarnenez France	https://www.thalasso.com/destination/douarnenez#sectionArea	Traité
Spa du Domaine des Dryades	28 Rue du Golf 36160 Pouligny-Notre-Dame France	https://domaine-des-dryades.com/bien-etre-et-spa-val-de-loire/	Traité
ORA The Longevity Bay	Av. Marie Louise 44500 La Baule-Escoublac France	https://www.hotelsbarriere.com/la-baule/experiences/ora-longevity	Traité
Zenkô	357 Chem. du Planet 83910 Pourrières France	https://spa-zenko.fr/	Traité
Atelier du bien être	8 Av. des Baronnes 34730 Prades-le-Lez France	http://www.atelierdubienetre.org/	Traité
Acqua Sana	32 Rue de la Pompe 83220 Le Pradet France	https://acqua-sana.fr/	Traité
Ô Spa Nature	149 Rue du Muleney 73500 Val-Cenis France	http://www.evolution2.com/val-cenis	Traité
Spa Pure Altitude des Fermes de Marie	163 Chem. des Épis 74120 Megève France	https://www.fermesdemarie.com/hiver/spa-megeve-pure-altitude	Traité
Spa by l'Hermitage Gantois	224 Rue Pierre Mauroy 59800 Lille France	https://book.pure-informatique.com/Categories.php?locationID=54849&sid=ddctrgu4dglceiauvoi1829opo#	Traité
Luxury spa Raismes	39 Rue Léopold Dussart 59590 Raismes France	https://luxury-spa59.fr/	Traité
Balneo & Spa Major d'home - Centre de bien-être à Périgueux	4 Rue Michel Roulland 24000 Périgueux France	https://appartement-hotel-perigueux.fr/espace-bien-etre-a-perigueux/	Traité
Le Spa Aux Vieux Remparts	3 Rue Couverte 77160 Provins France	http://www.auxvieuxremparts.com/fr/detente-et-spa.php#situation-et-plan-d-acces.php	Traité
Be Well Canada spa Sologne	250 Rue Aristide Boucicaut 41200 Pruniers-en-Sologne France	https://spa-bewell.com/	Traité
Meli’Spa	33 Pl. de la Libération 43000 Le Puy-en-Velay France	https://koalendar.com/u/melispa	Traité
Le SPA Berguois	3 Rue du Collège 59380 Bergues France		
Spa Fleur de Sel - Guidel	5 L'atlantique route de 56520 Guidel France	https://www.planity.com/spa-fleur-de-sel-guidel-56520	Traité
Loisirs Détente Aquatique LDA	Zac Bonne Rencontre 8 Rue de la Pajotte 77860 Quincy-Voisins France	http://www.lda-spa.fr/	Traité
Calicéo	1 Rue de Cabanis 31240 L'Union France	https://toulouse.caliceo.com/	Traité
Mel'Lys Spa	42 Rte de Brouzet 30260 Quissac France	https://mel-lys-spa.fr/	Traité
Bella Spa	236 Rue Martin du N 59500 Douai France	https://bella-spa.fr/	Traité
Thalassothérapie Thalazur Carnac	4 Av. de l'Atlantique 56340 Carnac France	https://www.thalazur.fr/carnac/	Traité
SECRET SPA LILLE - LOVE ROOM	27 Rue du Général Mesny 59320 Haubourdin France	https://www.secretspalille.fr/	Traité
L'évasion	51 Rue Marcellin Berthelot 59191 Ligny-en-Cambrésis France	https://levasion59-spa.com/	Traité
Lux, chambre spa privatif valenciennes	118 Chem. Vert 59300 Aulnoy-lez-Valenciennes France	https://ledomainedesdiamants.fr/le-lux/	Traité
Aqua Bien Etre	19 Grand place 59590 Raismes France		
Naïades Spa HotSpring	233 rue du colombier 83350 Ramatuelle France	https://www.hotspringsainttrop.fr/	Traité
Tiki Spa	Kon Tiki 4363 Route des plages KON TIKI 83350 Ramatuelle France	https://bookings.zenchef.com/results?rid=376008&pid=1001&isPreview=1	Traité
Spa Cheval Blanc St-Tropez	Plage de la Bouillabaisse 83990 Saint-Tropez France	https://www.chevalblanc.com/fr/maison/st-tropez/spa-et-piscine/?y_source=1_MTkzOTcyOTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	Traité
Le Spa By Clarins - Saint-Tropez	1 Trav. de la Gendarmerie 83990 Saint-Tropez France	https://hoteldeparis-sainttropez.com/bien-etre/	Traité
Spa Nescens - La Réserve Ramatuelle	736 Chem. des Cretes 83350 Ramatuelle France	https://www.lareserve-ramatuelle.com/spa-proche-saint-tropez/?utm_source=google&utm_medium=local&utm_campaign=lrr-spa	Traité
Terre de Pastel - Spa Bleu par Nature®	629 Rue Max Planck 31670 Labège France	https://www.terredepastel.com/content/12-spa-labege/	Traité
Le Souffle De L'Eau	15 Chem. de Waben 62180 Verton France	http://www.spa-lesouffledeleau.fr/	Traité
BLUEMOONSPAS	RN 16 Rte de Neuilly 60290 Rantigny France	https://www.bluemoonspas.fr/	Traité
Spa Oasis Natura	470 Imp. des Combettes 26530 Le Grand-Serre France	https://spaoasisnatura.fr/	Traité
Spa du central hôtel	81 Av. de la Gare 15270 Bort-les-Orgues France	http://www.centralhotelbort.fr/	Traité
Spa Manche	1A La Feuffe 50260 Rauville-la-Bigot France	https://www.spa-manche.com/	Traité
Spa du Grand Luxembourg	25 Rue des Bouchers 14400 Bayeux France	https://www.planity.com/spa-du-grand-luxembourg-14400-bayeux	Traité
Le Spa du Bailli	Av. des Américains 83820 Rayol-Canadel-sur-Mer France	https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.lebaillidesuffren.com%2Fespace-bien-etre-institut-esthederm%2F&amp;data=05%7C01%7C%7C408481607450442cdb6e08da7f67a619%7C84df9e7fe9f640afb435aaaaaaaaaaaa%7C1%7C0%7C637962380384418219%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=rSalripFyl3t70aZId8r4fGq9BqbT8TpOV0GTcXk8Fw%3D&amp;reserved=0	Traité
Le 05 SPA by Les Autanes	53 Rue du Clocher 05260 Ancelle France	https://www.hotel-les-autanes.com/	Traité
Plénitude Head Spa by Sonia	13 Grande Rue 35600 Redon France	https://www.planity.com/plenitude-head-spa-by-sonia-35600-redon	Traité
Spa Connect	81 Av. Paul Marchandeau 51100 Reims France	https://www.spa-connect.fr/	Traité
Balnéo Barrière Ribeauvillé	D106 68150 Ribeauvillé France	https://www.hotelsbarriere.com/ribeauville/resort-barriere-ribeauville/experiences/le-centre-balneo	Traité
Belle du Perche	La Courrougere n° 3 61110 Rémalard en Perche France	http://www.belleduperche.com/	Traité
Spa Clarins	11-13 Pl. du Général de Gaulle 61110 Rémalard en Perche France		
le Spa In Balance	22 Avenue Janvier 27 Bd Magenta 35000 Rennes France	https://spa.accor.com/fr/hotels/7383?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps	Traité
Samcha	13 Av. Germaine Tillion 35136 Saint-Jacques-de-la-Lande France	https://www.samcha.fr/	Traité
Centre Bien Être - Spa - Massages Intuitif -Soins Energétiques & Psycho Corporel - Revel	300 Les Obits 31540 Roumens France	https://gervais.podia.com/	Traité
L'instant beauté	166 Pl. de la République 60170 Ribécourt-Dreslincourt France		
Le Cocon de Romy	Rue Char Y Reste 02240 Ribemont France		
le Prieuré des Sources - le Spa Auxerre	Zone des Clairions Rue Louise Weiss 89000 Auxerre France	http://www.leprieuredessources.com/	Traité
Spa Shiseido Ginza Tokyo Dinard	46 Av. George V 35800 Dinard France	https://www.hotelsbarriere.com/dinard/le-grand-hotel-dinard/experiences/spa	Traité
Salina la Grotte de Sel	42 Rue Victor Hugo 37000 Tours France	http://www.salinasel.fr/	Traité
Groupe l'Espadon - Magasin de spas et spas de nage	16 B Rue de Kingersheim 68120 Richwiller France	http://www.spa-groupelespadon.com/	Traité
La Clé du Bonheur: Location Maison avec Spa, Sauna, Hammam, Alsace, Bas Rhin	1 b Rue Principale 67260 Rimsdorf France	https://lacledubonheur.co/	Traité
Pause Ô Spa	Rue de la Forêt Blanche 05600 Risoul France	https://www.pauseospa.com/	Traité
Zen Altitude	Pl. du Glacis 05460 Abriès-Ristolas France		
Spa hôtel Antares - Massages & soins Phytomer	Rue St Clair 14600 La Rivière-Saint-Sauveur France	https://www.planity.com/spa-honfleur-antares-14600-la-riviere-saint-sauveur	Traité
Day Spa	20 Rue Jean Jaurès 85000 La Roche-sur-Yon France	http://www.dayspa.fr/	Traité
Spa & Institut Villa Royale - Massage - La Rochelle	58 Bd de Cognehors 17000 La Rochelle France	https://www.larochelle-institut-spa.com/	Traité
summer spa	Herbelon 38650 Treffort France	https://www.summerspa.fr/	Traité
Turquoise spa et bien être	99 Av. de Paris 41200 Romorantin-Lanthenay France	http://institut-turquoise.fr/	Traité
L'Art du Mieux Être : David Laurent Praticien Bien-Être	197 Rue Edouard Vaillant 59286 Roost-Warendin France	https://www.facebook.com/ReflexoBienetre59286	Traité
Vanessahomeserenity	193 Rue Victor Hugo 59286 Roost-Warendin France	https://vanessahomeserenity.fr/	Traité
SPA DU MOULIN	Domaine du Moulin de Villefranche 430 Chem. du Moulin de Villefranche 84210 Pernes-les-Fontaines France	https://www.spadumoulin.com/	Traité
Spa Miléade Roquebrune-sur-Argens	380 Bd John Fitzgerald Kennedy 83520 Roquebrune-sur-Argens France	https://www.planity.com/village-club-mileade-de-roquebrune-sur-argens-83520	Traité
Thalasso les Issambres Résidence Pierre et Vacances Les Rivages des Issambres	2 Av. de la Thébaide 83380 Roquebrune-sur-Argens France		
Hygge spa privatif Roquetoire	Rue Saint-Vinocq 62120 Roquetoire France	https://www.facebook.com/share/17WFn7onUW/?mibextid=wwXIfr	Traité
Le Dôme Bleu	ZA RD 908 le terme centre commercial 13124 Peypin France	http://spa-ledomebleu.fr/	Traité
Beauté & Spa	1570 D96 13400 Aubagne France	https://beauteetspa.com/	Traité
Institut Spa Valdys - Roscoff	16 Rue Victor Hugo 29680 Roscoff France	https://www.thalasso.com/destination/roscoff#sectionArea	Traité
Opulsion Alsace	1 Rue Jean Marie Lehn 67560 Rosheim France	https://opulsion.fr/	Traité
Art du Spa	1 Rue Jean Marie Lehn 67560 Rosheim France	https://www.artduspa.com/?utm_source=referal&utm_medium=solocal	Traité
YONAGUNI spa	33 Rue Mont-Saint-Jean 67210 Obernai France	https://www.yonahotel.com/fr/yonaguni-spa-alsace	Traité
Ô des Cimes Spas d'Altitude Le Lodge Héméra	29 Rue de l'école 73700 Montvalezan France	http://www.odescimes.com/fr/spas/le-lodge-hemera-1026	Traité
Spa Cocoon	3 Rue Joseph et Etienne Montgolfier 93110 Rosny-sous-Bois France		
Spa Jeanne & Jules	7 Rue de la Marne 22110 Rostrenen France	https://www.planity.com/hotel-spa-jeanne-et-jules-22110-rostrenen	Traité
TAELIA SPA	691 Rue du Nouveau Jeu 59230 Rosult France	http://www.taeliaspa.com/	Traité
RITUAL SPA - Roubaix	62 Rue du Fontenoy 59100 Roubaix France	https://ritualspa.fr/	Traité
Élysea private spa	1 Rue de la Perche 59100 Roubaix France	http://www.elysea-spa.fr/	Traité
AQUAVITAL Institut, SPA, Institut de beauté et de bien être	123 Rte de Paris 76240 Le Mesnil-Esnard France	http://www.institut-aquavital.fr/	Traité
Spa by Hyatt Place Rouen	Normandie 77 Rte de Neufchâtel 76000 Rouen France	https://shop.tac.eu.com/HyattPlaceRouenDolzr/shop/	Traité
O Plaisir Du Spa	21 Rue Berthe Molly 68000 Colmar France	http://www.oplaisirduspa.fr/	Traité
Spa - Espace Détente - La Reposée	La Reposée 35340 Liffré France	http://www.lareposee.fr/	Traité
Spa Center Lille | Spa Privatif sur réservation	9 Rue du Plat 59800 Lille France	https://www.spa-center-lille.fr/	Traité
SPACIUM LILLE	5 Rue Gustave Delory 59800 Lille France	https://www.spacium-lille.fr/	Traité
Labna Spa Lille	45 Rue de la Barre 59800 Lille France	http://www.labnaspa.com/	Traité
ESCAPADE SPA & BEAUTÉ	117 Rue de Verdun 62190 Lillers France	https://escapade-spa-beaute.fr/	Traité
Espace d'O	15 Av. Edouard Herriot 69400 Limas France	http://www.espace-do.fr/	Traité
Spa Privatif L'Orchidée 94 (Sauna/Jacuzzi) & Head Spa	1 Rue du Tertre 94450 Limeil-Brévannes France	https://lorchideelimeil.wixsite.com/spa94	Traité
Isatis Le Spa	78 Rue François Che?nieux 87000 Limoges France	http://www.isatislespa.com/	Traité
Naia Spa Élie Berthet - Spa & Massage - Head Spa - Limoges	24 Rue Elie Berthet 87000 Limoges France	https://www.naiaspa.fr/	Traité
L'Instant d'un Voyage	2 Rue du Bréau 89240 Lindry France	http://www.linstantdunvoyage.fr/	Traité
Mouv'Spa	10 Rte de la Roncette 50660 Lingreville France	https://www.mouvspa.fr/	Traité
Sens Naturels	67 Rue de Lille 59126 Linselles France	http://sens-naturels.com/	Traité
H'être Zen	9 Rue d'Ouville 14100 Lisieux France	https://hetrezen.com/	Traité
Magasin Spas Montpellier & Lunel - MRSPAS	62 Imp. des Roussels 34400 Lunel-Viel France	https://www.mr-spas.fr/	Traité
Instant Spa by Alexy	283 Av. de la République 34400 Lunel-Viel France	https://instantspa.org/	Traité
Relaxeo	Zae Beaubâton 142 Rue des Artisans 86550 Mignaloux-Beauvoir France	https://www.relaxeo-spa86.com/	Traité
Only Spa (distributeur Vendom) : Magasin de spas et spas de nage à Lutterbach, proche de Mulhouse	59 Cité de l'Habitat 68460 Lutterbach France	https://onlyspa.fr/	Traité
Escapade	Cité de l'Habitat 59 Village des constructeurs 68460 Lutterbach France		
SPA Les Opales	6 La Condamine 09110 Ax-les-Thermes France	https://www.mercure-axlesthermes.com/se-relaxer-hotel-spa-ax-les-thermes/	Traité
Les Bains de l'Opéra	20 Rue Joseph Serlin 69001 Lyon France	http://www.lesbainsdelopera.com/	Traité
GRAVITI Lyon 6 - Centre de Flottaison	31 Rue Ney 69006 Lyon France	https://www.graviti.fr/	Traité
ATLANTHYS SPA Grenoble - Massages & Expert minceur	28 Rte de Lyon 38000 Grenoble France	https://www.atlanthys.fr/	Traité
Bhavana Spa	20 Rte de Créon 33670 Sadirac France	https://bhavanaspa33.kalendes.com/	Traité
Nola beauté et spa	29 Rue de l'Audacieuse 34480 Magalas France	https://nolabeaute.fr/	Traité
SPA des Sources de la Ferme du Gros Noyer	906 Rte de Beaumont 84340 Malaucène France	https://grosnoyer.com/	Traité
Le Spa Marin	140-142 Rue Déportés et de la Résistance 89100 Sens France	https://lespamarin.kalendes.com/?utm_source=gmb	Traité
ELIOSPA Mallemort - Moulin de Vernègues	Quartier le Gros Mourre 7491 Route Nationale 7 13370 Mallemort France	https://www.eliospa.fr/spas/eliospa-mallemort/	Traité
Dimension One Spas - Besançon	Au Noret 25620 Mamirolle France	http://www.d1spas.fr/revendeur/achat-spas-berion-freres-besancon/	Traité
Slima Beauté	ZAC Au Noret 25620 Mamirolle France		
BERION piscines et spas	Rue du Noret Zone Artisanale 25620 Mamirolle France	http://www.berion.fr/	Traité
Spa de L'Oasis	26 Av. Henry Clews 06210 Mandelieu-la-Napoule France	https://www.ermitage-oasis.fr/le-spa/	Traité
Le Spa L'Occitane en Provence	Chemin des Jeux de Maï 04300 Mane France	https://www.couventdesminimes-hotelspa.com/fr/spa-loccitane.html	Traité
Spa privatif Harmonie des Sens	8 Rte de Sous le Rocher 74230 Manigod France	http://www.sensharmonie.com/	Traité
Spa Montagnes du Monde® : Résidence Hameau de l'Ours - MGM Hôtels & Résidences	Rte du Col de la Croix Fry 74320 Manigod France	https://www.mgm-hotels-residences.com/fr/spa-montagnes-du-monder-hameau-de-lours	Traité
Cristal Spa - Au Coeur du Village	26 Mnt du Château 74220 La Clusaz France	http://www.cristalspa.fr/	Traité
CONCEPT SPA Massage/Epilation/Jacuzzi	22 Rue Auguste Goust 78200 Mantes-la-Jolie France	https://www.concept-spa.com/	Traité
THE LAY OF CALM	Rue du Marchiou 85320 Mareuil-sur-Lay-Dissais France	https://www.vendeedusud.com/hebergement-locatif/meuble-the-lay-of-calm/	Traité
Les Bains de Margaux	5 Île Vincent 33460 Margaux-Cantenac France	http://www.relais-margaux.fr/	Traité
Cosy Spa	167 Cité Saint-Martin 60280 Venette France	https://cosyspacompiegne.fr/	Traité
T’Aim spa	142 Rue des Bateliers 60280 Margny-lès-Compiègne France	https://www.planity.com/taim-hotel-spa-60280-margny-les-compiegne	Traité
Kyo Head Spa Marquette lez Lille	1 Rue Maurice Ravel 59520 Marquette-lez-Lille France	https://www.planity.com/kyo-head-spa-59520-marquette-lez-lille	Traité
Sundance Spas Lille	68 Rue de Wambrechies 59520 Marquette-lez-Lille France	https://www.sundance-spas.fr/?utm_source=gmb	Traité
Head spa	26 Rue Octave Tondu 37370 Marray France		
Spas & Wellness	1 Rte de Beaune 21160 Marsannay-la-Côte France	http://www.spas-wellness.com/?utm_source=gmb	Traité
Sundance Spas Dijon	17 Rue Gustave Eiffel 21160 Marsannay-la-Côte France	https://www.sundance-spas.fr/	Traité
Bulle des Sables	1078 Av. des Campings 34340 Marseillan France	https://www.bulle-des-sables.com/	Traité
Spa Cinq Mondes Marseille	45 Quai de Rive Neuve 13007 Marseille France	http://www.cinqmondes-marseille.com/	Traité
Spa by Clarins - InterContinental Hôtel Dieu	1 Pl. Daviel 13002 Marseille France	https://www.deepnature.fr/dn_fr/spa-clarins-marseille.html	Traité
SO SPA Marseille Vieux Port	36 Bd Charles Livon 13007 Marseille France	https://www.planity.com/spa-sofitel-spa-marseille-13007	Traité
Spa La Bonne Adresse - Hammam - Sauna - Gommage - Massage et Privatisation	242 Bd Romain Rolland 13009 Marseille France	http://www.spalabonneadresse.com/	Traité
Spa Negresko	8 Rue Negresko 13008 Marseille France	https://www.spa-negresko.fr/	Traité
Wellness Spirit	65 Av. de Corinthe 13006 Marseille France		
Les Sources d'Allauch	423 Av. du 7ème Régiment du Tirailleur Algérien 13190 Allauch France	http://www.lessourcesdallauch.fr/	Traité
Spa Le Norvégien	74 Rte des Camoins 13011 Marseille France	http://spalenorvegien.fr/	Traité
Jacuzzi Bordeaux - CultureSpas	104-156 Allée des cantines 33127 Saint-Jean-d'Illac France	http://www.culturespas.fr/	Traité
SPA Les Sources de Caudalie	Smith Haut-Lafitte 33650 Martillac France	https://fr.caudalie.com/les-sources-de-caudalie	Traité
La Maison Spa	6 Pl. du Petit Enfer 76200 Dieppe France	https://www.latourauxcrabes.com/spa-dieppe/phytomer-5-mondes-normandie	Traité
Spa Maison Chiberta	104 Bd des Plages 64600 Anglet France	https://www.hotelmaisonchiberta.com/	Traité
SPA Le Magnolia - Accès privatif (Jacuzzi et sauna)	11 chemin du Soulié 81470 Aguts France	https://www.spalemagnolia.com/	Traité
Spa Zéphyr	Dom. de Massane 34670 Baillargues France	https://www.horizon-resort.com/fr/spa-zephyr.html?utm_source=Google&utm_medium=My+Business	Traité
Head spa by’ln	28 Dastres 44290 Guémené-Penfao France	http://headspabyln.booksy.com/a/	Traité
Maskorra Spa	83 Av. John Fitzgerald Kennedy 33700 Mérignac France	https://www.hotelm-merignac.com/fr/spa.html	Traité
Le Spa Antony	28 Av. Gabriel Péri 92160 Antony France	https://groupe-lespa.com/	Traité
DISINI Spa	1 Rue des Carrières 34160 Castries France	https://www.disini-hotel.com/bien-etre-montpellier/	Traité
Ethéré- Spa et Technologies La Grande Motte	Espace Grand bleu 195 Rue Saint-Louis 34280 La Grande-Motte France	https://www.etherespa.fr/	Traité
Massages & Spa L'ESPRIT A Montpellier	33 Pl. Georges Frêche 34070 Montpellier France	https://lesprit-a.com/	Traité
Benestar - Poséidon Spa	565 Av. de l'Europe 34370 Maureilhan France	https://benestar-spa.fr/	Traité
Bleu Tropical Piscine - PISCINES HydroSud Maurepas	Zone Activités Pariwest 6 Rue Marie Curie 78310 Maurepas France	https://piscine-bleutropical.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp	Traité
Baumanière le Spa	D27 Mas de Baumanière 13520 Les Baux-de-Provence France	https://www.baumaniere.com/le-spa	Traité
